Sword2,22.22,1,M,H,-1,1,2,0,1,4,0,1,6,0,1,8,0,1,10,0,1,12,0,95,75,35
Battle axe ,5,7,M,H,2,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,2,4,0,90,85,80
Club ,-,3,M,C,-1,1,10,0,1,8,0,1,6,0,1,6,-2,1,6,-4,1,1,0,95,90,85
Dagger or dirk ,2,1,S,P,-3,1,6,1,1,6,0,1,6,-1,1,6,-2,1,6,-3,1,6,-4,95,90,85
Footman's flail ,15,15,M,C,2,1,4,1,1,6,0,1,6,1,2,4,0,2,4,1,1,10,0,90,85,80
Footman's mace ,8,10,M,C,2,1,8,1,1,8,0,1,6,1,1,6,0,1,4,1,1,4,0,90,85,80
Footman's pick ,8,6,M,P,2,1,4,1,1,6,0,1,6,1,2,4,0,1,8,1,2,4,1,95,90,85
Hand or throwing axe ,1,5,M,H,-1,1,10,0,1,8,0,1,6,0,1,6,-1,1,6,-2,1,6,-3,95,90,85
Harpoon ,20,6,L,P,2,1,4,0,1,6,0,2,4,0,2,6,0,2,6,0,2,6,0,95,90,85
Horseman's flail ,8,5,M,C,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,90,85,80
Horseman's mace ,5,6,M,C,1,1,8,0,1,6,1,1,6,0,1,4,1,1,4,0,1,4,-1,90,85,80
Horseman's pick ,7,4,M,P,0,1,6,0,1,6,0,1,6,-1,1,6,-2,1,6,-3,1,6,-4,90,85,80
Knife ,.5,.5,S,P/H,-3,1,6,-1,1,6,-1,1,6,-2,1,6,-4,1,6,-4,1,6,-5,95,90,85
Heavy horse lance,15,15,L,P,3,1,6,-1,1,6,0,1,8,1,3,6,0,2,10,0,2,12,0,85,80,75
Light horse lance,6,5,L,P,1,1,6,-2,1,6,-1,1,6,0,1,8,0,1,10,0,1,12,0,85,80,75
Jousting lance,20,20,L,P,5,1,6,-2,1,6,-3,1,6,-2,1,6,-4,1,6,-4,1,6,-5,85,80,75
Medium horse lance ,10,10,L,P,2,1,4,0,1,4,1,1,6,1,2,6,0,2,8,0,2,10,0,85,80,75
Main-gauche ,4,2,S,H,-1,1,6,0,1,6,-1,1,4,0,1,4,-1,1,4,-1,1,4,-2,60,30,15
Metal gauntlet ,2,2,S,C,0,1,6,0,1,6,-1,1,6,-2,1,4,-1,1,6,-3,1,6,-4,75,60,45
Morning star ,10,12,M,C,2,3,4,0,2,4,1,2,4,0,1,6,1,1,6,0,1,4,0,85,80,75
Quarterstaff ,-,4,L,C,-1,1,6,0,1,6,0,1,6,0,1,6,0,1,4,0,1,3,0,95,90,85
Rapier ,16,4,M,P,1,1,6,-1,1,6,0,1,6,1,1,8,1,1,10,0,1,8,0,70,50,25
Sabre ,20,5,L,H,1,1,6,-1,1,6,0,1,6,1,1,8,1,1,10,0,1,8,0,65,45,20
Scourge ,1,2,S,P,0,1,6,1,1,6,0,1,6,-2,1,6,-4,1,6,-4,1,6,-5,95,90,85
Sickle ,.6,3,S,H,-1,1,6,1,1,6,0,1,6,-1,1,6,-2,1,6,-3,1,6,-4,95,90,85
Spear ,.8,5,M,P,1,1,6,-1,1,6,-1,1,6,0,1,8,0,1,8,0,1,6,0,90,85,80
"Spear, Great ",1,8,L,P,3,1,6,0,1,6,0,1,8,0,1,10,0,1,10,0,1,8,0,90,85,80
Stiletto ,.5,.5,S,P,-1,1,4,0,1,4,0,1,4,-1,1,4,-2,1,4,-2,1,4,-3,80,55,25
"Stilleto, Bloodthorn ",12,.5,S,P,-4,1,6,-1,1,6,-2,1,6,-2,1,6,-2,1,6,-2,1,6,-3,75,70,65
Broad sword ,10,4,M,H,0,1,10,0,1,10,0,2,4,0,1,6,1,1,6,0,1,4,0,90,85,80
Khopesh ,10,7,M,H,4,1,10,0,1,10,1,2,4,0,1,6,0,1,6,0,1,4,0,95,90,85
Long sword ,15,4,M,H,0,1,6,0,1,6,0,1,8,0,1,12,0,2,6,0,2,8,0,90,85,80
"Rapier, Petite ",15,.5,S,P,-4,1,6,-3,1,6,-2,1,6,-1,1,6,0,1,6,-1,1,6,-2,80,75,70
Scimitar ,15,4,M,H,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,95,90,85
Short sword ,10,3,S,P,-2,1,6,-2,1,6,-1,1,6,0,1,8,0,1,8,0,1,6,0,90,85,80
Two-handed sword ,50,15,L,H,5,1,4,0,1,6,-1,1,10,0,3,6,0,2,10,0,2,12,0,85,80,75
Sword-breaker (1-H) ,36,4,M,P,4,1,6,-2,1,6,-2,1,6,-3,1,6,-4,1,6,-4,1,6,-5,65,45,15
Sword-breaker (2-H) ,36,4,M,P,3,1,6,-2,1,6,-2,1,6,-3,1,6,-4,1,6,-4,1,6,-5,65,45,15
Taichi/no-daichi ,140,6,L,H,4,1,8,0,1,8,0,1,12,0,3,6,0,2,8,0,2,6,0,10,4,1
Trident ,15,5,L,P,2,1,4,0,1,4,0,1,6,1,3,4,0,3,4,0,2,4,1,90,85,80
Warhammer ,2,6,M,C,-1,1,8,0,1,8,0,1,6,0,1,4,0,1,4,0,1,3,0,95,90,85
Whip ,.1,2,M,P,3,1,6,-3,1,6,-2,1,6,-4,1,1,0,1,1,0,1,1,0,95,90,85
Bastard Sword One-handed,25,10,M,H,1,1,6,-1,1,6,0,1,8,0,1,12,0,2,6,0,2,8,0,85,80,75
Bastard Sword Two-handed,25,10,M,H,3,1,4,-1,1,4,0,2,4,0,2,8,0,2,6,0,2,10,0,85,80,75
Katana 1H,120,5,M,H/P,1,1,6,0,1,8,0,1,10,0,1,12,0,1,12,0,1,10,0,12,6,1
Katana 2H,120,5,M,H/P,1,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,12,6,1
Tanto,5,.5,S,H/P,-3,1,6,0,1,6,0,1,6,0,1,6,-1,1,6,-2,1,6,-3,20,10,2
Wakizashi,65,3,M,H/P,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,1,6,0,9,3,1
